,latitude,longitude
278,55.763163,37.737869
279,55.668893,37.464847
280,55.713332,37.614632
281,55.788402,37.544857
282,55.732309,37.608052
283,55.753544,37.678516
284,55.775051,37.434055
285,55.67021,37.459533
286,55.817924,37.586808
287,55.870662,37.552426
288,55.820797,37.794936
289,55.760421,37.655651
290,55.756357,37.59477
291,55.758617,37.570755
292,55.767316,37.569751
293,55.855364,37.587456
294,55.805824,37.54794
295,55.809902,37.535002
296,55.780172,37.568708
297,55.756071,37.412806
298,55.765044,37.61416
299,56.356569,37.537594
300,55.760022,37.556172
301,55.417113,37.537306
302,55.765167,37.601338
303,55.891999,37.539438
304,55.728128,37.333968
305,55.786568,37.604632
306,55.779703,37.613951
307,55.733105,37.652024
308,55.759066,37.53652
309,55.8954,37.538141
310,55.90369,37.566751
311,55.717949,37.669575
312,55.740903,37.678845
313,55.746606,37.549378
314,55.882717,37.534991
315,55.50177,37.592579
316,55.502604,37.596896
317,55.239817,37.541169
318,55.886564,37.537298
319,55.887375,37.537292
320,55.648317,37.40225
321,55.944402,37.511204
322,55.768695,37.654876
323,55.737006,37.618101
324,55.744259,37.621704
325,55.657967,37.925399
326,55.769583,37.618818
327,55.769268,37.619696
328,55.783967,37.356722
329,55.758533,37.644258
330,55.791636,37.49829
331,55.732884,37.63592
332,55.764671,37.665821
333,55.739063,37.502136
334,55.935498,37.507671
335,55.542723,37.495492
336,55.806133,37.689228
337,55.714425,37.625708
338,55.730886,37.5621
339,55.761157,37.636597
340,55.660819,37.581628
341,55.748591,37.596591
342,55.95119,37.48835
343,55.819804,37.372321
344,55.780139,37.738432
345,55.730597,37.620618
346,55.749843,37.589084
347,55.745119,37.592556
348,55.746987,37.595776
349,55.825463,37.308308
350,55.783872,37.602119
351,55.850717,37.635781
352,55.852852,37.429902
353,55.776107,37.551531
354,55.806599,37.419546
355,55.744052,37.665056
356,55.76357,37.6442
357,55.766319,37.642897
358,55.894917,37.73155
359,55.788994,37.353629
360,55.577654,37.671803
361,55.699659,37.154774
362,55.757953,37.602373
363,55.75018,37.561225
364,55.890653,37.42068
365,55.511295,36.979004
366,55.78211,37.391486
367,55.81849,37.527314
368,55.741269,37.523543
369,55.882959,37.49196
370,55.80129,37.518621
371,55.8261,37.531839
372,55.873837,37.530856
373,55.87172,37.542288
374,56.093105,37.906676
375,55.838958,37.300668
376,55.850729,37.514658
377,55.711489,37.736551
378,55.83022,37.36005
379,55.759558,37.614891
380,55.63567,37.209298
381,55.80601,37.57598
382,55.759031,37.651682
383,55.834476,37.644602
384,56.076184,37.930598
385,55.913159,37.213339
386,55.79423,37.626183
387,55.77862,37.823575
388,55.675006,37.537007
389,55.753972,37.655326
390,55.75687,37.59489
391,55.760751,37.651813
392,55.760555,37.588584
393,55.768639,37.602103
394,55.736586,37.668039
395,55.741286,37.668368
396,55.841444,37.361934
397,55.702854,37.902781
398,55.834284,37.418875
399,55.885305,37.429782
400,55.615127,37.547714
401,55.614601,37.547508
402,55.764696,37.633648
403,55.787076,37.362198
404,55.842599,37.349752
405,55.817562,37.621561
406,55.818855,37.634038
407,55.735411,37.611282
408,55.8259,37.600246
409,55.823412,37.596846
410,55.824413,37.600581
411,55.76842,37.588167
412,55.910158,37.834294
413,55.827845,37.591861
414,55.857618,37.447265
415,55.430241,37.518758
416,55.850351,37.174695
417,55.592919,37.538078
418,55.594068,37.54077
419,55.824617,37.828231
420,55.824382,37.829855
421,55.756574,37.568011
422,55.751112,37.650694
423,55.42974,37.555183
424,55.815881,37.091193
425,55.847183,37.364451
426,55.634093,37.59506
427,55.634603,37.597066
428,55.84622,37.351357
429,55.759293,37.597006
430,55.890649,37.438402
431,55.532907,37.641686
432,55.740246,37.495514
433,55.423409,37.482345
434,55.744166,37.597512
435,55.735491,37.621663
436,56.295817,38.124898
