English transcription;latitude;longitude;metro_line_1;metro_line_2;metro_line_3;metro_line_4;metro_line_5;metro_line_6;metro_line_7;metro_line_8;metro_line_9;metro_line_10;metro_line_11;metro_line_12;metro_line_13;metro_line_14;metro_line_15
Vystavochny Tsentr;55.824;37.6383;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
Ulitsa Sergeya Eyzenshteyna;55.8292;37.6449;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Okruzhnaya;55.8472;37.5694;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Vladykino;55.8476;37.593;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
Botanichesky Sad;55.846;37.6413;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
Rostokino;55.84;37.6653;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Belokamennaya;55.83;37.7006;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Bulvar Rokossovskogo;55.8172;37.7369;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Lokomotiv;55.8039;37.746;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Izmaylovo;55.7886;37.7428;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
Sokolinaya Gora;55.7714;37.7451;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Shosse Entuziastov;55.759;37.7463;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
Andronovka;55.7411;37.7344;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Nizhegorodskaya;55.7322;37.7282;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Novokhokhlovskaya;55.7239;37.7161;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Ugreshskaya;55.7183;37.6978;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Dubrovka;55.7183;37.6978;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Avtozavodskaya;55.7063;37.6631;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
ZIL (Moscow Central Circle);55.6983;37.6483;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Verkhniye Kotly;55.69;37.6189;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
